Step,DetectionBoxes_Precision/mAP,DetectionBoxes_Precision/mAP (large),DetectionBoxes_Precision/mAP (medium),DetectionBoxes_Precision/mAP (small),DetectionBoxes_Precision/mAP@.50IOU,DetectionBoxes_Precision/mAP@.75IOU,DetectionBoxes_Recall/AR@1,DetectionBoxes_Recall/AR@10,DetectionBoxes_Recall/AR@100,DetectionBoxes_Recall/AR@100 (large),DetectionBoxes_Recall/AR@100 (medium),DetectionBoxes_Recall/AR@100 (small),Loss/BoxClassifierLoss/classification_loss,Loss/BoxClassifierLoss/localization_loss,Loss/RPNLoss/localization_loss,Loss/RPNLoss/objectness_loss,Loss/total_loss,loss
116000,0.17724289,0.25072756,0.13485035,0.013613861,0.31717995,0.1765642,0.42931867,0.5200604,0.5303138,0.63995194,0.47656003,0.013333334,0.09452338,0.03988285,0.027598381,0.3604412,0.52244604,0.52244604
118000,0.18475848,0.23079242,0.15525144,0.05082508,0.34176457,0.18319653,0.38475803,0.46630302,0.48085842,0.507581,0.30909598,0.048390806,0.08922763,0.0415722,0.02414595,0.3587214,0.51366735,0.51366735
120000,0.14670232,0.21975279,0.107881226,0.096534654,0.27465987,0.14597969,0.34427086,0.501497,0.5165615,0.59614336,0.36223742,0.095192306,0.105903864,0.04478902,0.028761202,0.35956547,0.53901976,0.53901976
122000,0.1728836,0.22876468,0.09551459,0.10387239,0.32418433,0.17140198,0.36759302,0.45298797,0.46588326,0.56733274,0.26141134,0.10172043,0.10542286,0.042201065,0.029861497,0.3589016,0.53638697,0.53638697
124000,0.18683273,0.27244657,0.20025095,0.18436469,0.33177707,0.19179271,0.43383822,0.5167504,0.5210717,0.6144375,0.41712597,0.18431373,0.08471344,0.037812226,0.030174173,0.3597309,0.51243067,0.51243067
126000,0.16502817,0.23710182,0.10007141,0.047854785,0.30949727,0.1682509,0.31421745,0.47548318,0.48845053,0.5962671,0.33370003,0.046060607,0.09914939,0.041078504,0.026257727,0.35770464,0.5241907,0.5241907
128000,0.14487118,0.17534947,0.13542277,0.088448845,0.27698532,0.1462715,0.38239333,0.4763932,0.48444945,0.51498526,0.27121288,0.100384615,0.10737684,0.040638097,0.028732574,0.36299694,0.53974444,0.53974444
130000,0.16828556,0.17160682,0.1742188,0.23665243,0.3139458,0.16378607,0.3948233,0.5383735,0.5458157,0.50578284,0.5117066,0.24055555,0.10447186,0.043036718,0.025373071,0.3528116,0.52569324,0.52569324
132000,0.14721249,0.22862534,0.12651236,0.12695663,0.26200712,0.14637198,0.34799534,0.49348462,0.5137364,0.5756716,0.30023852,0.128125,0.12891023,0.040206876,0.026996525,0.35897502,0.5550887,0.5550887
134000,0.16686822,0.24969403,0.1329352,0.050165016,0.31743976,0.17188874,0.41881895,0.5116132,0.5198059,0.60840523,0.3090191,0.04842105,0.111452475,0.040144023,0.02553459,0.35276592,0.52989686,0.52989686
136000,0.17139123,0.21542639,0.15003547,0.060088344,0.31766847,0.18241434,0.40037483,0.502098,0.5056844,0.6090911,0.34323338,0.09012539,0.11119393,0.038048066,0.027633052,0.3569935,0.53386873,0.53386873
138000,0.15533532,0.20259556,0.2257148,0.05742574,0.3477817,0.14294544,0.32424963,0.41037452,0.43822137,0.56406176,0.33596578,0.056985293,0.11456624,0.039526496,0.023945326,0.3512333,0.5292717,0.5292717
140000,0.17854793,0.26480237,0.12784857,0.03589109,0.33554268,0.17069937,0.3446039,0.49901265,0.50885403,0.61887836,0.39027387,0.03425926,0.115129724,0.035052124,0.02739422,0.36200935,0.53958505,0.53958505
142000,0.15735482,0.23395245,0.09631249,0.09504951,0.31214213,0.14684111,0.3517658,0.50804657,0.52137005,0.6002219,0.39064476,0.09330808,0.12079965,0.04031578,0.030853651,0.36218035,0.55414957,0.55414957
144000,0.1835745,0.25023884,0.106446415,0.08060502,0.33802077,0.17727089,0.44604552,0.5445212,0.5529061,0.6323421,0.43958366,0.10206349,0.108022355,0.038641267,0.029998105,0.35826623,0.53492785,0.53492785
146000,0.18285452,0.24644761,0.110407025,0.1220288,0.32750103,0.17757714,0.33410665,0.45708448,0.4590798,0.57856697,0.29249153,0.12923077,0.106316976,0.041123834,0.026256321,0.35639954,0.5300963,0.5300963
148000,0.1862955,0.22308701,0.17155659,0.11346966,0.3367406,0.18894872,0.4016845,0.5506863,0.55985636,0.5731777,0.36088687,0.13284314,0.10192206,0.035187446,0.028194072,0.35890236,0.5242059,0.5242059
150000,0.1719511,0.23430566,0.20556146,0.0977102,0.32758704,0.16547671,0.36066326,0.47315583,0.47762957,0.585808,0.4184301,0.1,0.09452892,0.038072396,0.029680127,0.35759938,0.51988107,0.51988107
152000,0.18212228,0.24402404,0.16504349,0.106806934,0.3553375,0.16994068,0.41182107,0.5092425,0.51705956,0.59469485,0.31761828,0.11168583,0.10123252,0.03972527,0.028166994,0.3593884,0.5285129,0.5285129
156000,0.18416959,0.26846707,0.10340767,0.059037667,0.33695894,0.18290941,0.4768932,0.56234866,0.5789192,0.62218726,0.36837116,0.05995671,0.10378664,0.037915774,0.027050337,0.35914406,0.52789676,0.52789676
158000,0.16797262,0.2672991,0.11241056,0.07482319,0.3251152,0.15858929,0.38796195,0.5230949,0.526325,0.62801605,0.38115767,0.08321759,0.1070548,0.037202183,0.030157499,0.36212727,0.53654194,0.53654194
160000,0.19212584,0.27887642,0.12973575,0.08465347,0.35656554,0.17520006,0.43611974,0.5113649,0.51625913,0.5880134,0.40626544,0.08214286,0.10457205,0.04299261,0.028678533,0.36006403,0.5363067,0.5363067
162000,0.18213707,0.20835449,0.1413085,0.14314356,0.3603935,0.17101079,0.40121043,0.5287052,0.54014313,0.56617934,0.33914363,0.1574074,0.10343399,0.03848619,0.024502655,0.3584331,0.5248567,0.5248567
164000,0.17791128,0.27720383,0.095610596,0.059852272,0.35791978,0.1594797,0.3862599,0.4635969,0.4779819,0.631171,0.28681827,0.062222224,0.10605223,0.03870569,0.026166854,0.36300123,0.5339258,0.5339258
166000,0.17040664,0.25585032,0.095808335,0.075906016,0.3189211,0.17020006,0.4264321,0.5092972,0.5179517,0.6216167,0.30865258,0.104973115,0.12135866,0.03692173,0.023611913,0.36154938,0.54344183,0.54344183
168000,0.19178055,0.20368303,0.14232516,0.07532013,0.3476979,0.1788837,0.38494247,0.4646348,0.47123292,0.5452077,0.28665498,0.08148148,0.11046023,0.04056466,0.0261468,0.36240438,0.53957593,0.53957593
170000,0.17182048,0.26167974,0.17268354,0.01948226,0.32919905,0.16397844,0.33932924,0.46243787,0.46763423,0.55785054,0.38655096,0.027678572,0.107817106,0.037554003,0.023933671,0.3620068,0.53131145,0.53131145
172000,0.17749725,0.2544407,0.1974785,0.12342331,0.32210177,0.17879115,0.39267033,0.48517892,0.4915339,0.5985325,0.36937588,0.1339527,0.095456004,0.036174286,0.027960422,0.3629784,0.5225688,0.5225688
174000,0.16916147,0.2229864,0.11942572,0.10340188,0.31983435,0.16935864,0.38695806,0.49078387,0.50750595,0.5435977,0.37922257,0.104761906,0.10451617,0.03710574,0.022687227,0.36021465,0.52452344,0.52452344
178000,0.17426275,0.26930302,0.1295612,0.12409241,0.3269653,0.17120734,0.41767052,0.49206358,0.50384873,0.5997406,0.32029316,0.1261324,0.10272243,0.03746866,0.023765838,0.36216155,0.5261188,0.5261188
180000,0.17417833,0.24154204,0.13776293,0.07688355,0.324005,0.16566806,0.3743542,0.45689988,0.46739277,0.5828585,0.32728645,0.11617647,0.10938916,0.036672156,0.02915506,0.35844845,0.53366476,0.53366476
182000,0.18107712,0.2596086,0.15254852,0.14945343,0.34326527,0.1819353,0.38770998,0.47929338,0.48288143,0.5816017,0.29413557,0.16833334,0.11001107,0.042694233,0.028544044,0.35897452,0.5402237,0.5402237
184000,0.17962661,0.2428174,0.21193627,0.12118969,0.34233123,0.16386452,0.3675773,0.48334834,0.49266264,0.56677157,0.3770876,0.14791666,0.10136163,0.03918904,0.023810105,0.35959116,0.5239519,0.5239519
186000,0.16000643,0.2527284,0.10774465,0.07775578,0.30132067,0.15879038,0.42669907,0.51011777,0.5237125,0.6108397,0.33366677,0.08520115,0.10479903,0.035606585,0.022538457,0.3592102,0.5221544,0.5221544
188000,0.21950611,0.26800418,0.10506758,0.11400224,0.41057685,0.21504062,0.4371211,0.5436084,0.547574,0.5979454,0.20869671,0.1567888,0.12685505,0.040870238,0.026214603,0.3594129,0.5533528,0.5533528
190000,0.17662816,0.22746591,0.104191914,0.09232673,0.32929647,0.170402,0.40643132,0.49680674,0.50506127,0.57857555,0.39383548,0.09431818,0.11650988,0.038212642,0.02127317,0.35538718,0.53138274,0.53138274
192000,0.18473005,0.2877498,0.11997526,0.05240924,0.34871355,0.18614052,0.31409296,0.51264775,0.51728845,0.61182076,0.36970592,0.05245098,0.1116515,0.03750193,0.02453235,0.3600701,0.5337561,0.5337561
194000,0.16724777,0.24220124,0.104123555,0.09793729,0.32586843,0.16149966,0.35019436,0.4564024,0.46017754,0.53795177,0.3296866,0.12607142,0.1009788,0.0413192,0.025212154,0.36085585,0.5283663,0.5283663
196000,0.17803735,0.2525199,0.16046637,0.061056145,0.33976686,0.17018154,0.3886983,0.483482,0.4927362,0.5516613,0.42575905,0.11111111,0.09886023,0.0381174,0.022287786,0.3639592,0.5232244,0.5232244
